,1.wrd,10.wrd,11.wrd,12.wrd,13.wrd,14.wrd,15.wrd,16.wrd,17.wrd,18.wrd,19.wrd,2.wrd,20.wrd,21.wrd,22.wrd,23.wrd,24.wrd,249.wrd,25.wrd,250.wrd,251.wrd,252.wrd,253.wrd,254.wrd,255.wrd,256.wrd,257.wrd,258.wrd,259.wrd,26.wrd,260.wrd,261.wrd,262.wrd,263.wrd,264.wrd,265.wrd,266.wrd,267.wrd,268.wrd,269.wrd,27.wrd,270.wrd,271.wrd,272.wrd,273.wrd,274.wrd,275.wrd,276.wrd,277.wrd,278.wrd,279.wrd,28.wrd,29.wrd,3.wrd,30.wrd,31.wrd,4.wrd,5.wrd,559.wrd,560.wrd,561.wrd,562.wrd,563.wrd,564.wrd,565.wrd,566.wrd,567.wrd,568.wrd,569.wrd,570.wrd,571.wrd,572.wrd,573.wrd,574.wrd,575.wrd,576.wrd,577.wrd,578.wrd,579.wrd,580.wrd,581.wrd,582.wrd,583.wrd,584.wrd,585.wrd,586.wrd,587.wrd,588.wrd,589.wrd,6.wrd,7.wrd,8.wrd,9.wrd
1.wrd,1.0,0.5032733224222585,0.7238134206219313,0.6923076923076923,0.3768412438625205,0.6378887070376432,0.6681669394435352,0.5053191489361701,0.6403436988543372,0.3584288052373159,0.6673486088379705,0.7090834697217676,0.6788052373158756,0.37070376432078556,0.6509819967266776,0.6783960720130933,0.6955810147299508,0.37274959083469716,0.6243862520458265,0.5572831423895254,0.4275777414075287,0.4676759410801964,0.6022913256955811,0.5597381342062193,0.5621931260229133,0.5887888707037643,0.43003273322422264,0.5437806873977087,0.5433715220949263,0.660392798690671,0.503682487725041,0.3972995090016367,0.6153846153846154,0.5077741407528642,0.48977086743044185,0.6051554828150573,0.5360065466448445,0.574468085106383,0.585924713584288,0.4189852700490998,0.6833060556464812,0.5916530278232406,0.560556464811784,0.6395253682487725,0.6043371522094927,0.6272504091653028,0.5777414075286416,0.6219312602291326,0.6538461538461539,0.5613747954173486,0.5986088379705401,0.6898527004909983,0.6689852700490999,0.6616202945990179,0.690671031096563,0.6280687397708674,0.7135842880523732,0.4648117839607201,0.6350245499181669,0.45049099836333883,0.34819967266775775,0.4844517184942717,0.4963175122749591,0.5687397708674304,0.45253682487725044,0.570785597381342,0.5343698854337152,0.5073649754500819,0.5220949263502455,0.646481178396072,0.531505728314239,0.5106382978723405,0.5761047463175123,0.5499181669394435,0.5462356792144026,0.531505728314239,0.6554828150572831,0.5552373158756138,0.26513911620294595,0.5630114566284778,0.5646481178396072,0.5716039279869067,0.5634206219312603,0.546644844517185,0.6145662847790507,0.5769230769230769,0.5793780687397709,0.5028641571194763,0.5392798690671031,0.6763502454991817,0.5646481178396072,0.5666939443535188,0.6297054009819967
10.wrd,0.5032733224222585,1.0,0.46031096563011453,0.542962356792144,0.515139116202946,0.5953355155482816,0.530278232405892,0.3211947626841244,0.6043371522094927,0.3036006546644845,0.6329787234042553,0.41734860883797054,0.6575286415711947,0.473404255319149,0.6043371522094927,0.6391162029459903,0.6505728314238952,0.29132569558101473,0.6096563011456628,0.4492635024549918,0.40384615384615385,0.3747954173486089,0.4660392798690671,0.3457446808510638,0.41080196399345337,0.45049099836333883,0.35024549918166936,0.41530278232405893,0.559328968903437,0.6219312602291326,0.412847790507365,0.2422258592471358,0.4541734860883797,0.32855973813420625,0.2810965630114566,0.4676759410801964,0.37234042553191493,0.37929623567921444,0.4472176759410802,0.46522094926350244,0.5581014729950899,0.4938625204582652,0.4148936170212766,0.47626841243862517,0.4083469721767594,0.47790507364975454,0.5114566284779051,0.502454991816694,0.4120294599018003,0.4590834697217676,0.40793780687397707,0.6104746317512275,0.5875613747954174,0.38379705400982,0.6513911620294599,0.6207037643207856,0.5167757774140753,0.47013093289689034,0.45376432078559736,0.5883797054009821,0.5184124386252046,0.6149754500818331,0.6354337152209493,0.5441898527004909,0.5433715220949263,0.6538461538461539,0.6211129296235679,0.6247954173486088,0.5417348608837971,0.47790507364975454,0.642798690671031,0.4746317512274959,0.5699672667757774,0.4668576104746317,0.5626022913256956,0.41653027823240585,0.5045008183306056,0.5188216039279869,0.2864157119476268,0.5654664484451719,0.559328968903437,0.560556464811784,0.5716039279869067,0.5679214402618658,0.546644844517185,0.5274140752864157,0.5057283142389526,0.5409165302782324,0.5245499181669395,0.43780687397708673,0.440671031096563,0.7303600654664484,0.34410801963993454
11.wrd,0.7238134206219313,0.46031096563011453,1.0,0.6657119476268412,0.38134206219312605,0.6346153846153846,0.677986906710311,0.4132569558101473,0.6657119476268412,0.42430441898527005,0.6268412438625204,0.6968085106382979,0.6902618657937807,0.39893617021276595,0.6710310965630115,0.7054009819967266,0.6669394435351882,0.4247135842880524,0.6370703764320785,0.51759410801964,0.4198036006546645,0.5032733224222585,0.5826513911620295,0.5364157119476268,0.5204582651391162,0.5810147299509001,0.43003273322422264,0.5090016366612111,0.6076104746317512,0.6391162029459903,0.45540098199672663,0.440671031096563,0.6207037643207856,0.5061374795417348,0.5511456628477904,0.5961538461538461,0.5335515548281506,0.5949263502454991,0.5552373158756138,0.4005728314238952,0.6534369885433715,0.5507364975450082,0.5409165302782324,0.6444353518821604,0.5445990180032734,0.5793780687397709,0.5396890343698855,0.556873977086743,0.5748772504091653,0.5981996726677578,0.5552373158756138,0.6632569558101473,0.6292962356792144,0.5887888707037643,0.6534369885433715,0.6452536824877251,0.6959901800327333,0.4930441898527005,0.6783960720130933,0.4345335515548282,0.40098199672667756,0.4582651391162029,0.49836333878887074,0.5298690671031097,0.45253682487725044,0.5621931260229133,0.529050736497545,0.47626841243862517,0.5400981996726677,0.6202945990180033,0.487315875613748,0.4774959083469722,0.5237315875613748,0.6002454991816695,0.5409165302782324,0.5077741407528642,0.6190671031096563,0.5233224222585925,0.2536824877250409,0.5180032733224222,0.5781505728314239,0.5519639934533551,0.5061374795417348,0.5400981996726677,0.5977905073649754,0.570785597381342,0.560556464811784,0.5188216039279869,0.5094108019639935,0.7029459901800328,0.5,0.5773322422258593,0.5556464811783961
12.wrd,0.6923076923076923,0.542962356792144,0.6657119476268412,1.0,0.4161211129296236,0.6346153846153846,0.703355155482815,0.4373977086743044,0.6959901800327333,0.4083469721767594,0.6534369885433715,0.6841243862520459,0.6878068739770867,0.43207855973813425,0.6558919803600655,0.6910801963993454,0.7082651391162029,0.43698854337152204,0.6460720130932898,0.5511456628477904,0.4529459901800328,0.5098199672667758,0.5691489361702128,0.5282324058919803,0.570785597381342,0.6211129296235679,0.41857610474631757,0.5061374795417348,0.5777414075286416,0.6828968903436989,0.4942716857610474,0.41080196399345337,0.632569558101473,0.48404255319148937,0.5085924713584289,0.5924713584288053,0.5090016366612111,0.560556464811784,0.5855155482815058,0.4316693944353519,0.6902618657937807,0.5654664484451719,0.4971358428805237,0.6513911620294599,0.5339607201309329,0.599836333878887,0.5331423895253682,0.6051554828150573,0.5965630114566285,0.5585106382978724,0.5949263502454991,0.6738952536824877,0.6923076923076923,0.5589198036006546,0.662847790507365,0.6689852700490999,0.6497545008183305,0.5049099836333879,0.5830605564648118,0.46317512274959083,0.3711129296235679,0.48281505728314233,0.5499181669394435,0.5253682487725041,0.4705400981996727,0.59328968903437,0.5114566284779051,0.5450081833060556,0.5450081833060556,0.5838788870703764,0.542962356792144,0.4824058919803601,0.545417348608838,0.5838788870703764,0.5556464811783961,0.4774959083469722,0.5957446808510638,0.5458265139116203,0.26022913256955815,0.5298690671031097,0.5675122749590835,0.531505728314239,0.5368248772504092,0.5474631751227497,0.6006546644844517,0.5965630114566285,0.556873977086743,0.5310965630114566,0.5413256955810147,0.6256137479541735,0.4950900163666121,0.6194762684124386,0.5806055646481179
13.wrd,0.3768412438625205,0.515139116202946,0.38134206219312605,0.4161211129296236,1.0,0.4005728314238952,0.5208674304418985,0.23363338788870702,0.4288052373158756,0.4005728314238952,0.42144026186579375,0.33633387888707034,0.47585924713584293,0.2978723404255319,0.49263502454991814,0.45090016366612107,0.4807692307692307,0.37929623567921444,0.4373977086743044,0.34042553191489366,0.3473813420621932,0.266366612111293,0.28355155482815053,0.22995090016366615,0.35229132569558097,0.41366612111292966,0.2831423895253683,0.3318330605564648,0.3874795417348609,0.4689034369885434,0.219721767594108,0.27905073649754497,0.4414893617021277,0.46031096563011453,0.27209492635024546,0.3985270049099836,0.19599018003273327,0.2712765957446809,0.3477905073649754,0.2099018003273322,0.4169394435351882,0.3301963993453355,0.15752864157119473,0.39607201309328965,0.292962356792144,0.41734860883797054,0.3927986906710311,0.36006546644844517,0.33919803600654663,0.32692307692307687,0.3408346972176759,0.42021276595744683,0.39198036006546644,0.32364975450081834,0.40384615384615385,0.42144026186579375,0.4112111292962357,0.440671031096563,0.28968903436988547,0.44967266775777415,0.4296235679214403,0.3477905073649754,0.503682487725041,0.400163666121113,0.46522094926350244,0.5265957446808511,0.42430441898527005,0.4492635024549918,0.3985270049099836,0.3457446808510638,0.502454991816694,0.3183306055646481,0.3076923076923077,0.3473813420621932,0.3682487725040916,0.3850245499181669,0.34206219312602293,0.36170212765957444,0.26800327332242224,0.4050736497545008,0.5200490998363339,0.3927986906710311,0.3596563011456628,0.3477905073649754,0.4562193126022913,0.3878887070376432,0.42716857610474634,0.4247135842880524,0.3874795417348609,0.2450900163666121,0.38134206219312605,0.5527823240589198,0.24345335515548283
14.wrd,0.6378887070376432,0.5953355155482816,0.6346153846153846,0.6346153846153846,0.4005728314238952,1.0,0.7385433715220949,0.4050736497545008,0.7561374795417348,0.3240589198036007,0.7037643207855974,0.5716039279869067,0.7438625204582652,0.38420621931260224,0.7148117839607202,0.7770049099836334,0.7757774140752864,0.3175122749590835,0.6698036006546645,0.44558101472995093,0.39770867430441903,0.45867430441898527,0.5773322422258593,0.5253682487725041,0.5200490998363339,0.5597381342062193,0.4054828150572831,0.5650572831423895,0.49549918166939444,0.7720949263502455,0.5090016366612111,0.3903436988543372,0.6190671031096563,0.48895253682487727,0.412847790507365,0.5990180032733224,0.4774959083469722,0.5085924713584289,0.570785597381342,0.43617021276595747,0.7123567921440261,0.6178396072013093,0.5396890343698855,0.6370703764320785,0.5879705400981996,0.6194762684124386,0.6121112929623568,0.5891980360065466,0.5597381342062193,0.5703764320785598,0.5474631751227497,0.7356792144026186,0.7459083469721768,0.46644844517184947,0.7606382978723404,0.75,0.6117021276595744,0.4914075286415712,0.6182487725040917,0.5388707037643208,0.4942716857610474,0.5630114566284778,0.5180032733224222,0.5388707037643208,0.5147299509001637,0.6211129296235679,0.572013093289689,0.5654664484451719,0.51759410801964,0.660392798690671,0.5826513911620295,0.5724222585924714,0.6558919803600655,0.5855155482815058,0.6133387888707038,0.5793780687397709,0.6194762684124386,0.5360065466448445,0.25,0.57569558101473,0.5527823240589198,0.5883797054009821,0.599836333878887,0.6252045826513912,0.6550736497545009,0.6047463175122749,0.5658756137479541,0.5806055646481179,0.5331423895253682,0.559328968903437,0.4414893617021277,0.6935351882160392,0.4198036006546645
15.wrd,0.6681669394435352,0.530278232405892,0.677986906710311,0.703355155482815,0.5208674304418985,0.7385433715220949,1.0,0.45253682487725044,0.8183306055646481,0.3915711947626841,0.6963993453355155,0.6579378068739771,0.7671849427168576,0.43985270049099834,0.7688216039279869,0.8072831423895254,0.760229132569558,0.44108019639934537,0.7176759410801964,0.5147299509001637,0.473404255319149,0.5368248772504092,0.632569558101473,0.6215220949263502,0.599836333878887,0.6612111292962357,0.4435351882160393,0.6321603927986907,0.5225040916530278,0.7962356792144026,0.4864975450081833,0.47299509001636664,0.7029459901800328,0.6354337152209493,0.5388707037643208,0.7054009819967266,0.5806055646481179,0.6063829787234043,0.6456628477905073,0.41939443535188214,0.7712765957446809,0.6117021276595744,0.559328968903437,0.760229132569558,0.6530278232405893,0.7176759410801964,0.6816693944353519,0.6509819967266776,0.6088379705400981,0.6751227495908347,0.6333878887070377,0.7495908346972177,0.7152209492635024,0.5638297872340425,0.7598199672667758,0.7213584288052373,0.6902618657937807,0.4950900163666121,0.6522094926350246,0.5540098199672667,0.4210310965630114,0.5028641571194763,0.5450081833060556,0.5981996726677578,0.5008183306055647,0.646481178396072,0.5478723404255319,0.529050736497545,0.5253682487725041,0.6366612111292962,0.5335515548281506,0.5617839607201309,0.5818330605564648,0.5769230769230769,0.6157937806873977,0.6497545008183305,0.6587561374795418,0.6215220949263502,0.3612929623567921,0.6432078559738135,0.7516366612111293,0.6616202945990179,0.6910801963993454,0.6910801963993454,0.7999181669394435,0.689443535188216,0.7377250409165304,0.646481178396072,0.6256137479541735,0.6542553191489362,0.4402618657937807,0.6841243862520459,0.5167757774140753
16.wrd,0.5053191489361701,0.3211947626841244,0.4132569558101473,0.4373977086743044,0.23363338788870702,0.4050736497545008,0.45253682487725044,1.0,0.4459901800327333,0.13338788870703766,0.4639934533551555,0.3171031096563012,0.3829787234042553,0.17430441898527005,0.38379705400982,0.43617021276595747,0.4218494271685761,0.27209492635024546,0.4075286415711947,0.3547463175122749,0.2704582651391162,0.2266775777414075,0.4112111292962357,0.28682487725040917,0.3473813420621932,0.35392798690671035,0.28068739770867435,0.36865793780687395,0.2892798690671031,0.37561374795417346,0.3359247135842881,0.27986906710310966,0.44271685761047463,0.33265139116202946,0.24263502454991814,0.4091653027823241,0.26882160392798693,0.33756137479541737,0.35679214402618653,0.27373158756137483,0.4099836333878887,0.3183306055646481,0.32078559738134205,0.382569558101473,0.35106382978723405,0.3944353518821604,0.41366612111292966,0.3956628477905073,0.3797054009819967,0.35229132569558097,0.35229132569558097,0.3993453355155483,0.3572013093289689,0.5249590834697218,0.36783960720130937,0.3576104746317512,0.42307692307692313,0.27986906710310966,0.27291325695581015,0.35392798690671035,0.2561374795417348,0.3543371522094927,0.4083469721767594,0.4054828150572831,0.36374795417348604,0.47790507364975454,0.396481178396072,0.41243862520458263,0.38993453355155483,0.34533551554828146,0.369885433715221,0.3191489361702128,0.3625204582651391,0.41734860883797054,0.3261047463175123,0.45253682487725044,0.4177577741407529,0.39198036006546644,0.13052373158756136,0.41734860883797054,0.3797054009819967,0.3563829787234043,0.36374795417348604,0.41734860883797054,0.396481178396072,0.34410801963993454,0.36456628477905073,0.3027823240589198,0.3097381342062193,0.2794599018003273,0.3171031096563012,0.3874795417348609,0.44271685761047463
17.wrd,0.6403436988543372,0.6043371522094927,0.6657119476268412,0.6959901800327333,0.4288052373158756,0.7561374795417348,0.8183306055646481,0.4459901800327333,1.0,0.2774140752864157,0.7757774140752864,0.6354337152209493,0.8154664484451719,0.36456628477905073,0.7864157119476268,0.7880523731587561,0.7798690671031097,0.37234042553191493,0.7851882160392799,0.502454991816694,0.4656301145662848,0.5540098199672667,0.573240589198036,0.559328968903437,0.5409165302782324,0.6546644844517184,0.3048281505728314,0.5581014729950899,0.5687397708674304,0.823240589198036,0.5372340425531915,0.33756137479541737,0.6681669394435352,0.5372340425531915,0.5077741407528642,0.6816693944353519,0.5642389525368249,0.6268412438625204,0.5977905073649754,0.3850245499181669,0.7921440261865794,0.6321603927986907,0.5585106382978724,0.7516366612111293,0.6227495908346972,0.6722585924713584,0.6563011456628478,0.6685761047463175,0.5679214402618658,0.6190671031096563,0.6235679214402619,0.8044189852700491,0.7332242225859247,0.513911620294599,0.7860065466448445,0.79050736497545,0.6190671031096563,0.5073649754500819,0.6252045826513912,0.5261865793780687,0.3903436988543372,0.559328968903437,0.5495090016366613,0.6301145662847791,0.5368248772504092,0.6775777414075286,0.59328968903437,0.5981996726677578,0.607201309328969,0.676759410801964,0.5679214402618658,0.660392798690671,0.6632569558101473,0.6292962356792144,0.6771685761047463,0.5846972176759411,0.6824877250409165,0.5699672667757774,0.18126022913256956,0.5904255319148937,0.6432078559738135,0.589607201309329,0.6612111292962357,0.6845335515548281,0.7086743044189853,0.6247954173486088,0.6055646481178396,0.5806055646481179,0.5830605564648118,0.6211129296235679,0.4063011456628478,0.760229132569558,0.487315875613748
18.wrd,0.3584288052373159,0.3036006546644845,0.42430441898527005,0.4083469721767594,0.4005728314238952,0.3240589198036007,0.3915711947626841,0.13338788870703766,0.2774140752864157,1.0,0.32978723404255317,0.39198036006546644,0.42553191489361697,0.3719312602291326,0.4738134206219312,0.4484451718494271,0.3993453355155483,0.3649754500818331,0.35883797054009825,0.2041734860883797,0.2692307692307693,0.26104746317512273,0.3171031096563012,0.18821603927986907,0.33756137479541737,0.3400163666121113,0.29255319148936165,0.2823240589198036,0.2536824877250409,0.35883797054009825,0.14770867430441903,0.36006546644844517,0.3985270049099836,0.3359247135842881,0.30891980360065463,0.3183306055646481,0.08224222585924712,0.24959083469721766,0.35188216039279874,0.25040916530278234,0.38829787234042556,0.276595744680851,0.14034369885433717,0.369885433715221,0.17266775777414078,0.32160392798690673,0.3293780687397708,0.2892798690671031,0.3220130932896891,0.23567921440261863,0.2561374795417348,0.3367430441898527,0.35801963993453356,0.2450900163666121,0.3113747954173486,0.36456628477905073,0.33469721767594107,0.5028641571194763,0.3367430441898527,0.276595744680851,0.2872340425531915,0.17266775777414078,0.29828150572831424,0.1640752864157119,0.31505728314238957,0.30891980360065463,0.30523731587561376,0.21726677577741405,0.25818330605564643,0.23322422258592468,0.3330605564648118,0.10188216039279874,0.13338788870703766,0.2585924713584288,0.21563011456628478,0.3379705400981997,0.2401800327332242,0.23608837970540097,0.030687397708674347,0.2917348608837971,0.4005728314238952,0.28477905073649756,0.20540098199672663,0.2295417348608838,0.3592471358428805,0.3126022913256956,0.3649754500818331,0.3027823240589198,0.296644844517185,0.25040916530278234,0.37274959083469716,0.44189852700490995,0.3563829787234043
