('156-0', 'Che vuoi')
('156-1', 'Che vuoi')
('156-2', 'Che vuoi')
('156-3', 'Che vuoi')
('156-4', 'Che vuoi')
('156-5', 'Che vuoi')
('156-6', 'Che vuoi')
('156-7', 'Che vuoi')
('156-8', 'Che vuoi')
('156-9', 'Che vuoi')
('156', 'Che vuoi')
('157-0', 'Che vuoi')
('157-1', 'Che vuoi')
('157-2', 'Che vuoi')
('157-3', 'Che vuoi')
('157-4', 'Che vuoi')
('157-5', 'Che vuoi')
('157-6', 'Che vuoi')
('157-7', 'Che vuoi')
('157-8', 'Che vuoi')
('157-9', 'Che vuoi')
('157', 'Che vuoi')
('158-0', 'Che vuoi')
('158-1', 'Che vuoi')
('158-2', 'Che vuoi')
('158-3', 'Che vuoi')
('158-4', 'Che vuoi')
('158-5', 'Che vuoi')
('158-6', 'Che vuoi')
('158-7', 'Che vuoi')
('158-8', 'Che vuoi')
('158-9', 'Che vuoi')
('158', 'Che vuoi')
('159-0', 'Che vuoi')
('159-1', 'Che vuoi')
('159-2', 'Che vuoi')
('159-3', 'Che vuoi')
('159-4', 'Che vuoi')
('159-5', 'Che vuoi')
('159-6', 'Che vuoi')
('159-7', 'Che vuoi')
('159-8', 'Che vuoi')
('159-9', 'Che vuoi')
('159', 'Che vuoi')
('160-0', 'Che vuoi')
('160-1', 'Che vuoi')
('160-2', 'Che vuoi')
('160-3', 'Che vuoi')
('160-4', 'Che vuoi')
('160-5', 'Che vuoi')
('160-6', 'Che vuoi')
('160-7', 'Che vuoi')
('160-8', 'Che vuoi')
('160-9', 'Che vuoi')
('160', 'Perfetto')
('161-0', 'Che vuoi')
('161-1', 'Che vuoi')
('161-2', 'Che vuoi')
('161-3', 'Che vuoi')
('161-4', 'Che vuoi')
('161-5', 'Che vuoi')
('161-6', 'Che vuoi')
('161-7', 'Che vuoi')
('161-8', 'Che vuoi')
('161-9', 'Che vuoi')
('161', 'Che vuoi')
('162-0', 'Che vuoi')
('162-1', 'Che vuoi')
('162-2', 'Che vuoi')
('162-3', 'Che vuoi')
('162-4', 'Che vuoi')
('162-5', 'Che vuoi')
('162-6', 'Che vuoi')
('162-7', 'Che vuoi')
('162-8', 'Che vuoi')
('162-9', 'Che vuoi')
('162', 'Che vuoi')
('163-0', 'Che vuoi')
('163-1', 'Vieni Qui')
('163-2', 'Che vuoi')
('163-3', 'Vieni Qui')
('163-4', 'Vieni Qui')
('163-5', 'Vieni Qui')
('163-6', 'Vieni Qui')
('163-7', 'Che vuoi')
('163-8', 'Vieni Qui')
('163-9', 'Vieni Qui')
('163', 'Che vuoi')
('164-0', 'Che vuoi')
('164-1', 'Che vuoi')
('164-2', 'Che vuoi')
('164-3', 'Che vuoi')
('164-4', 'Che vuoi')
('164-5', 'Che vuoi')
('164-6', 'Che vuoi')
('164-7', 'Che vuoi')
('164-8', 'Che vuoi')
('164-9', 'Che vuoi')
('164', 'Che vuoi')
('165-0', 'Che vuoi')
('165-1', 'Che vuoi')
('165-2', 'Che vuoi')
('165-3', 'Che vuoi')
('165-4', 'Che vuoi')
('165-5', 'Che vuoi')
('165-6', 'Che vuoi')
('165-7', 'Che vuoi')
('165-8', 'Che vuoi')
('165-9', 'Che vuoi')
('165', 'Che vuoi')
('166-0', 'Vieni Qui')
('166-1', 'Che vuoi')
('166-2', 'Che vuoi')
('166-3', 'Che vuoi')
('166-4', 'Vieni Qui')
('166-5', 'Che vuoi')
('166-6', 'Che vuoi')
('166-7', 'Che vuoi')
('166-8', 'Che vuoi')
('166-9', 'Che vuoi')
('166', 'Che vuoi')
('167-0', 'Che vuoi')
('167-1', 'Che vuoi')
('167-2', 'Che vuoi')
('167-3', 'Che vuoi')
('167-4', 'Che vuoi')
('167-5', 'Che vuoi')
('167-6', 'Che vuoi')
('167-7', 'Che vuoi')
('167-8', 'Che vuoi')
('167-9', 'Che vuoi')
('167', 'Che vuoi')
('168-0', 'Che vuoi')
('168-1', 'Che vuoi')
('168-2', 'Che vuoi')
('168-3', 'Che vuoi')
('168-4', 'Che vuoi')
('168-5', 'Che vuoi')
('168-6', 'Che vuoi')
('168-7', 'Che vuoi')
('168-8', 'Che vuoi')
('168-9', 'Che vuoi')
('168', 'Che vuoi')
('169-0', 'Che vuoi')
('169-1', 'Che vuoi')
('169-2', 'Che vuoi')
('169-3', 'Che vuoi')
('169-4', 'Che vuoi')
('169-5', 'Che vuoi')
('169-6', 'Che vuoi')
('169-7', 'Che vuoi')
('169-8', 'Che vuoi')
('169-9', 'Che vuoi')
('169', 'Che vuoi')
('170-0', 'Che vuoi')
('170-1', 'Che vuoi')
('170-2', 'Che vuoi')
('170-3', 'Che vuoi')
('170-4', 'Che vuoi')
('170-5', 'Che vuoi')
('170-6', 'Che vuoi')
('170-7', 'Che vuoi')
('170-8', 'Che vuoi')
('170-9', 'Che vuoi')
('170', 'Che vuoi')
('171-0', 'Che vuoi')
('171-1', 'Che vuoi')
('171-2', 'Che vuoi')
('171-3', 'Che vuoi')
('171-4', 'Che vuoi')
('171-5', 'Che vuoi')
('171-6', 'Che vuoi')
('171-7', 'Che vuoi')
('171-8', 'Che vuoi')
('171-9', 'Che vuoi')
('171', 'Che vuoi')
('172-0', 'Che vuoi')
('172-1', 'Che vuoi')
('172-2', 'Che vuoi')
('172-3', 'Che vuoi')
('172-4', 'Che vuoi')
('172-5', 'Che vuoi')
('172-6', 'Che vuoi')
('172-7', 'Che vuoi')
('172-8', 'Che vuoi')
('172-9', 'Che vuoi')
('172', 'Che vuoi')
('173-0', 'Che vuoi')
('173-1', 'Che vuoi')
('173-2', 'Che vuoi')
('173-3', 'Che vuoi')
('173-4', 'Che vuoi')
('173-5', 'Che vuoi')
('173-6', 'Che vuoi')
('173-7', 'Che vuoi')
('173-8', 'Che vuoi')
('173-9', 'Che vuoi')
('173', 'Che vuoi')
('174-0', 'Che vuoi')
('174-1', 'Che vuoi')
('174-2', 'Che vuoi')
('174-3', 'Che vuoi')
('174-4', 'Che vuoi')
('174-5', 'Che vuoi')
('174-6', 'Che vuoi')
('174-7', 'Che vuoi')
('174-8', 'Che vuoi')
('174-9', 'Che vuoi')
('174', 'Che vuoi')
('175-0', 'Che vuoi')
('175-1', 'Che vuoi')
('175-2', 'Perfetto')
('175-3', 'Che vuoi')
