('1-0', 'daccordo')
('1-1', 'daccordo')
('1-2', 'daccordo')
('1-3', 'daccordo')
('1-4', 'daccordo')
('1-5', 'daccordo')
('1-6', 'daccordo')
('1-7', 'daccordo')
('1-8', 'daccordo')
('1-9', 'daccordo')
('10-0', 'vattene')
('10-1', 'vattene')
('10-2', 'vattene')
('10-3', 'vattene')
('10-4', 'vattene')
('10-5', 'vattene')
('10-6', 'vattene')
('10-7', 'vattene')
('10-8', 'vattene')
('10-9', 'vattene')
('10', 'vattene')
('11-0', 'vattene')
('11-1', 'vattene')
('11-2', 'vattene')
('11-3', 'vattene')
('11-4', 'vattene')
('11-5', 'vattene')
('11-6', 'vattene')
('11-7', 'vattene')
('11-8', 'vattene')
('11-9', 'vattene')
('11', 'combinato')
('12-0', 'combinato')
('12-1', 'vattene')
('12-2', 'combinato')
('12-3', 'combinato')
('12-4', 'vattene')
('12-5', 'vattene')
('12-6', 'vattene')
('12-7', 'vattene')
('12-8', 'vattene')
('12-9', 'combinato')
('12', 'combinato')
('13-0', 'vattene')
('13-1', 'vattene')
('13-2', 'vattene')
('13-3', 'vattene')
('13-4', 'vattene')
('13-5', 'vattene')
('13-6', 'vattene')
('13-7', 'vattene')
('13-8', 'vattene')
('13-9', 'vattene')
('13', 'vattene')
('14-0', 'vattene')
('14-1', 'vattene')
('14-2', 'vattene')
('14-3', 'vattene')
('14-4', 'vattene')
('14-5', 'vattene')
('14-6', 'vattene')
('14-7', 'vattene')
('14-8', 'vattene')
('14-9', 'vattene')
('14', 'combinato')
('15-0', 'vattene')
('15-1', 'vattene')
('15-2', 'vattene')
('15-3', 'vattene')
('15-4', 'vattene')
('15-5', 'vattene')
('15-6', 'vattene')
('15-7', 'vattene')
('15-8', 'vattene')
('15-9', 'vattene')
('15', 'vattene')
('16-0', 'vattene')
('16-1', 'vattene')
('16-2', 'vattene')
('16-3', 'vattene')
('16-4', 'vattene')
('16-5', 'vattene')
('16-6', 'vattene')
('16-7', 'vattene')
('16-8', 'vattene')
('16-9', 'vattene')
('16', 'vattene')
('17-0', 'vattene')
('17-1', 'vattene')
('17-2', 'vattene')
('17-3', 'vattene')
('17-4', 'vattene')
('17-5', 'vattene')
('17-6', 'vattene')
('17-7', 'vattene')
('17-8', 'vattene')
('17-9', 'vattene')
('17', 'vattene')
('18-0', 'vattene')
('18-1', 'vattene')
('18-2', 'vattene')
('18-3', 'vattene')
('18-4', 'vattene')
('18-5', 'vattene')
('18-6', 'vattene')
('18-7', 'vattene')
('18-8', 'vattene')
('18-9', 'vattene')
('18', 'vattene')
('19-0', 'vattene')
('19-1', 'vattene')
('19-2', 'vattene')
('19-3', 'vattene')
('19-4', 'vattene')
('19-5', 'vattene')
('19-6', 'vattene')
('19-7', 'vattene')
('19-8', 'vattene')
('19-9', 'vattene')
('19', 'daccordo')
('1', 'vattene')
('2-0', 'vattene')
('2-1', 'vattene')
('2-2', 'vattene')
('2-3', 'vattene')
('2-4', 'vattene')
('2-5', 'vattene')
('2-6', 'vattene')
('2-7', 'vattene')
('2-8', 'vattene')
('2-9', 'vattene')
('20-0', 'vattene')
('20-1', 'vattene')
('20-2', 'vattene')
('20-3', 'vattene')
('20-4', 'vattene')
('20-5', 'vattene')
('20-6', 'vattene')
('20-7', 'vattene')
('20-8', 'vattene')
('20-9', 'vattene')
('20', 'daccordo')
('21-0', 'combinato')
('21-1', 'combinato')
('21-2', 'combinato')
('21-3', 'combinato')
('21-4', 'combinato')
('21-5', 'combinato')
('21-6', 'combinato')
('21-7', 'combinato')
('21-8', 'combinato')
('21-9', 'combinato')
('21', 'vattene')
('22-0', 'vattene')
('22-1', 'vattene')
('22-2', 'vattene')
('22-3', 'vattene')
('22-4', 'vattene')
('22-5', 'vattene')
('22-6', 'vattene')
('22-7', 'vattene')
('22-8', 'vattene')
('22-9', 'vattene')
('22', 'vattene')
('23-0', 'vattene')
('23-1', 'vattene')
('23-2', 'vattene')
('23-3', 'vattene')
('23-4', 'vattene')
('23-5', 'vattene')
('23-6', 'vattene')
('23-7', 'vattene')
('23-8', 'vattene')
('23-9', 'vattene')
('23', 'vattene')
('24-0', 'vattene')
('24-1', 'vattene')
('24-2', 'vattene')
('24-3', 'vattene')
('24-4', 'vattene')
('24-5', 'vattene')
('24-6', 'vattene')
('24-7', 'vattene')
('24-8', 'vattene')
('24-9', 'vattene')
('249-0', 'daccordo')
('249-1', 'daccordo')
('249-2', 'daccordo')
('249-3', 'daccordo')
('249-4', 'daccordo')
('249-5', 'daccordo')
('249-6', 'daccordo')
('249-7', 'daccordo')
('249-8', 'daccordo')
('249-9', 'daccordo')
('249', 'combinato')
('24', 'vattene')
('25-0', 'vattene')
('25-1', 'vattene')
('25-2', 'vattene')
('25-3', 'vattene')
('25-4', 'vattene')
('25-5', 'vattene')
('25-6', 'vattene')
